Title,URL
Ampere,https://en.wikipedia.org/wiki/Ampere
Binomial nomenclature,https://en.wikipedia.org/wiki/Binomial_nomenclature
David Papineau,https://en.wikipedia.org/wiki/David_Papineau
Deductive-nomological model,https://en.wikipedia.org/wiki/Deductive-nomological_model
Digital object identifier,https://en.wikipedia.org/wiki/Doi_(identifier)
Elachista triatomea,https://en.wikipedia.org/wiki/Elachista_triatomea
Ian Hacking,https://en.wikipedia.org/wiki/Ian_Hacking
J. J. Thomson,https://en.wikipedia.org/wiki/J_J_Thomson
John Cottingham,https://en.wikipedia.org/wiki/John_Cottingham
MPEG-4 Part 11,https://en.wikipedia.org/wiki/MPEG-4_Part_11
Mindâ€“body dualism,https://en.wikipedia.org/wiki/Mind%E2%80%93body_dualism
Quantum Hall effect,https://en.wikipedia.org/wiki/Quantum_Hall_effect
University of Reading,https://en.wikipedia.org/wiki/University_of_Reading
Vernon Heywood,https://en.wikipedia.org/wiki/Vernon_Heywood
